antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'found in release: 3.22'}),frozenset({'has reproducible steps'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'has reproducible steps'}),frozenset({'found in release: 3.22'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'found in release: 3.19'}),frozenset({'found in release: 3.22'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'found in release: 3.22'}),frozenset({'found in release: 3.19'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'found in release: 3.19'}),frozenset({'has reproducible steps'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'has reproducible steps'}),frozenset({'found in release: 3.19'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
"frozenset({'found in release: 3.19', 'found in release: 3.22'})",frozenset({'has reproducible steps'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
"frozenset({'found in release: 3.19', 'has reproducible steps'})",frozenset({'found in release: 3.22'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
"frozenset({'found in release: 3.22', 'has reproducible steps'})",frozenset({'found in release: 3.19'}),0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'found in release: 3.19'}),"frozenset({'found in release: 3.22', 'has reproducible steps'})",0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'found in release: 3.22'}),"frozenset({'found in release: 3.19', 'has reproducible steps'})",0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'has reproducible steps'}),"frozenset({'found in release: 3.19', 'found in release: 3.22'})",0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,9.666666666666666,0.09274673008323424,inf,1.0
frozenset({'framework'}),frozenset({'found in release: 3.19'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
frozenset({'framework'}),frozenset({'found in release: 3.22'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
frozenset({'framework'}),frozenset({'has reproducible steps'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.19'})",frozenset({'found in release: 3.22'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.22'})",frozenset({'found in release: 3.19'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
frozenset({'framework'}),"frozenset({'found in release: 3.19', 'found in release: 3.22'})",0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.19'})",frozenset({'has reproducible steps'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'has reproducible steps'})",frozenset({'found in release: 3.19'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
frozenset({'framework'}),"frozenset({'found in release: 3.19', 'has reproducible steps'})",0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.22'})",frozenset({'has reproducible steps'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'has reproducible steps'})",frozenset({'found in release: 3.22'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
frozenset({'framework'}),"frozenset({'found in release: 3.22', 'has reproducible steps'})",0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.19', 'found in release: 3.22'})",frozenset({'has reproducible steps'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.19', 'has reproducible steps'})",frozenset({'found in release: 3.22'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.22', 'has reproducible steps'})",frozenset({'found in release: 3.19'}),0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
"frozenset({'framework', 'found in release: 3.19'})","frozenset({'found in release: 3.22', 'has reproducible steps'})",0.06896551724137931,0.10344827586206896,0.06896551724137931,1.0,9.666666666666666,0.06183115338882283,inf,0.9629629629629629
